potěr,fry [fraɪ]
bzučet,buzz [bʌz]
comeback,comeback [ˈkʌm.bæk]
cos,cos [kəz]
diagnostikovat,diagnose [ˌdaɪ.əɡˈnoʊs]
Diesel,diesel [ˈdiː.zəl]
dimenze,dimension [ˌdɪˈmen.ʃən]
ponořit,dip [dɪp]
tečka,dot [dɑːt]
účinnost,effectiveness [əˈfek.tɪv.nəs]
výjimečný,exceptional [ɪkˈsep.ʃən.əl]
podání,filing [ˈfaɪ.lɪŋ]
uprchnout,flee [fliː]
faul,foul [faʊl]
Upřímně řečeno,frankly [ˈfræŋ.kli]
graf,graph [ɡræf]
zaseknout,hack [hæk]
neznalý,ignorant [ˈɪɡ.nɚ.ənt]
interagovat,interact [ˌɪn.t̬ɚˈækt]
svítilna,lamp [læmp]
omezení,limitation [ˌlɪm.əˈteɪ.ʃən]
majestát,majesty [ˈmædʒ.ə.sti]
měření,measurement [ˈmeʒ.ɚ.mənt]
medián,median [ˈmiː.di.ən]
středověký,medieval [ˌmed.iˈiː.vəl]
mobilita,mobility [moʊˈbɪl.ə.t̬i]
orientace,orientation [ˌɔːr.i.enˈteɪ.ʃən]
trouba,oven [ˈʌv.ən]
pas,passport [ˈpæs.pɔːrt]
penis,penis [ˈpiː.nɪs]
králičí,rabbit [ˈræb.ɪt]
rytmus,rhythm [ˈrɪð.əm]
Savage,savage [ˈsæv.ɪdʒ]
střelec,shooter [ˈʃuː.t̬ɚ]
sourozenec,sibling [ˈsɪb.lɪŋ]
štíhlý,slim [slɪm]
Jednoho dne,someday [ˈsʌm.deɪ]
sofistikovaný,sophisticated [səˈfɪs.tə.keɪ.t̬ɪd]
stoh,stack [stæk]
postoj,stance [stæns]
statický,static [ˈstæt̬.ɪk]
metro,subway [ˈsʌb.weɪ]
podpůrný,supportive [səˈpɔːr.t̬ɪv]
chirurgický,surgical [ˈsɝː.dʒɪ.kəl]
tableta,tablet [ˈtæb.lət]
stan,tent [tent]
práce,thesis [ˈθiː.sɪs]
slapy,tide [taɪd]
válčení,warfare [ˈwɔːr.fer]
oteplování,warming [ˈwɔːr.mɪŋ]
odstoupit,withdraw [wɪðˈdrɑː]
odnětí,withdrawal [wɪðˈdrɑː.əl]
audit,audit [ˈɑː.dɪt]
autentický,authentic [ɑːˈθen.t̬ɪk]
zpět,backwards [ˈbæk.wɚdz]
blondýnka,blonde [blɑːnd]
šroub,bolt [boʊlt]
poprsí,bust [bʌst]
Clearing,clearing [ˈklɪr.ɪŋ]
límec,collar [ˈkɑː.lɚ]
dodržovat,comply [kəmˈplaɪ]
vyrovnat se,cope [koʊp]
strašidelný,creepy [ˈkriː.pi]
cum,cum [-kʌm-]
výkres,drawing [ˈdrɑː.ɪŋ]
echo,echo [ˈek.oʊ]
citově,emotionally [ɪˈmoʊ.ʃən.əl.i]
finále,finale [fɪˈnɑː.li]
chuť,flavor [ˈfleɪ.vɚ]
rukavice,glove [ɡlʌv]
jelen,hart [hɑːrt]
neznalost,ignorance [ˈɪɡ.nɚ.əns]
indukovaný,induced [-ɪn.duːst]
střední,intermediate [ˌɪn.t̬ɚˈmiː.di.ət]
vynález,invention [ɪnˈven.ʃən]
rovněž,likewise [ˈlaɪk.waɪz]
velkolepý,magnificent [mæɡˈnɪf.ə.sənt]
matematický,mathematical [ˌmæθˈmæt̬.ɪ.kəl]
Nicméně,nonetheless [ˌnʌn.ðəˈles]
umístění,placement [ˈpleɪs.mənt]
rekreace,recreation [ˌrek.riˈeɪ.ʃən]
obnovit,renew [rɪˈnuː]
odstoupit,resign [rɪˈzaɪn]
mělký,shallow [ˈʃæl.oʊ]
skica,sketch [sketʃ]
soda,soda [ˈsoʊ.də]
navzdory,spite [spaɪt]
posílit,strengthen [ˈstreŋ.θən]
západ slunce,sunset [ˈsʌn.set]
tě,thee [ðiː]
tepelný,thermal [ˈθɝː.məl]
pracoviště,workplace [ˈwɝːk.pleɪs]
výkřik,yell [jel]
analytik,analyst [ˈæn.ə.lɪst]
arktický,arctic [ˈɑːrk.tɪk]
kalorie,calorie [ˈkæl.ɚ.i]
přestat,cease [siːs]
kaple,chapel [ˈtʃæp.əl]
tkanina,cloth [klɑːθ]
kontejner,container [kənˈteɪ.nɚ]
kovboj,cowboy [ˈkaʊ.hænd]
nasazení,deploy [dɪˈplɔɪ]
se liší,differ [ˈdɪf.ɚ]
dychtivý,eager [ˈiː.ɡɚ]
povýšit,elevate [ˈel.ə.veɪt]
esence,essence [ˈes.əns]
vidlice,fork [fɔːrk]
srst,fur [fɝː]
sklizeň,harvest [ˈhɑːr.vəst]
titulek,headline [ˈhed.laɪn]
haraburdí,junk [dʒʌŋk]
ledviny,kidney [ˈkɪd.ni]
žebřík,ladder [ˈlæd.ɚ]
lobby,lobby [ˈlɑː.bi]
minerální,mineral [ˈmɪn.ər.əl]
dav,mob [mɑːb]
skromný,modest [ˈmɑː.dɪst]
navigace,navigation [ˌnæv.əˈɡeɪ.ʃən]
obíhat,orbit [ˈɔːr.bɪt]
odstavec,paragraph [ˈper.ə.ɡræf]
pasivní,passive [ˈpæs.ɪv]
poloostrov,peninsula [pəˈnɪn.sə.lə]
vepřové,pork [pɔːrk]
ziskové,profitable [ˈprɑː.fɪ.t̬ə.bəl]
ranč,ranch [ræntʃ]
rozumně,reasonably [ˈriː.zən.ə.bli]
zbytek,remainder [rɪˈmeɪn.dɚ]
sentiment,sentiment [ˈsen.t̬ə.mənt]
ponožka,sock [sɑːk]
doplněk,supplement [ˈsʌp.lə.mənt]
přežívající,surviving [sɚˈvaɪ.vɪŋ]
tím,thereby [ˌðerˈbaɪ]
práh,threshold [ˈθreʃ.hoʊld]
cín,tin [tɪn]
pneumatika,tire [taɪr]
kmenový,tribal [ˈtraɪ.bəl]
kufr,trunk [trʌŋk]
nejistota,uncertainty [ʌnˈsɝː.tən.ti]
upír,vampire [ˈvæm.paɪr]
pestrý,varied [ˈver.ɪd]
výrok,verdict [ˈvɝː.dɪkt]
ubytovat,accommodate [əˈkɑː.mə.deɪt]
proto,accordingly [əˈkɔːr.dɪŋ.li]
estetický,aesthetic [esˈθet̬.ɪk]
algoritmus,algorithm [ˈæl.ɡə.rɪ.ðəm]
kotva,anchor [ˈæŋ.kɚ]
oblouk,arch [ɑːrtʃ]
osa,axis [ˈæk.sɪs]
odznak,badge [bædʒ]
bizarní,bizarre [bəˈzɑːr]
odskočit,bounce [baʊns]
dělo,cannon [ˈkæn.ən]
koleda,carol [ˈker.əl]
složitost,complexity [kəmˈplek.sə.t̬i]
zmást,confuse [kənˈfjuːz]
konzultace,consultation [ˌkɑːn.sʌlˈteɪ.ʃən]
kontinentální,continental [ˌkɑːn.t̬ənˈen.t̬əl]
pohodlí,convenience [kənˈviː.ni.əns]
záměrně,deliberately [dɪˈlɪb.ɚ.ət.li]
slovník,dictionary [ˈdɪk.ʃən.er.i]
důstojnost,dignity [ˈdɪɡ.ə.t̬i]
zklamáním,disappointing [ˌdɪs.əˈpɔɪn.t̬ɪŋ]
potápění,diving [ˈdaɪ.vɪŋ]
ego,ego [ˈiː.ɡoʊ]
nadšení,enthusiasm [ɪnˈθuː.zi.æz.əm]
rovnice,equation [ɪˈkweɪ.ʒən]
výpis,extract [ɪkˈstrækt]
trajekt,ferry [ˈfer.i]
flexibilita,flexibility [ˌflek.səˈbɪl.ə.t̬i]
fúze,fusion [ˈfjuː.ʒən]
rozchod,gauge [ɡeɪdʒ]
koza,goat [ɡoʊt]
střevo,gut [ɡʌt]
Heck,heck [hek]
helma,helmet [ˈhel.mət]
ideologie,ideology [ˌaɪ.diˈɑː.lə.dʒi]
zařazení,inclusion [ɪnˈkluː.ʒən]
hmyz,insect [ˈɪn.sekt]
brankář,keeper [ˈkiː.pɚ]
jehněčí,lamb [læm]
stroje,machinery [məˈʃiː.nɚ.i]
Mansion,mansion [ˈmæn.ʃən]
a to,namely [ˈneɪm.li]
platina,platinum [ˈplæt.nəm]
mít,possess [pəˈzes]
předpoklad,premise [ˈprem.ɪs]
pravděpodobnost,probability [ˌprɑː.bəˈbɪl.ə.t̬i]
rezignace,resignation [ˌrez.ɪɡˈneɪ.ʃən]
jezdec,rider [ˈraɪ.dɚ]
rituál,ritual [ˈrɪtʃ.u.əl]
police,shelf [ʃelf]
slam,slam [slæm]
startér,starter [ˈstɑːr.t̬ɚ]
upsat,subscribe [səbˈskraɪb]
superman,superman [ˈsuː.pɚ.mæn]
Ta,ta [tɑː]
naprosto,utterly [ˈʌ.t̬ɚ.li]
napětí,voltage [ˈvoʊl.t̬ɪdʒ]
šířka,width [wɪtθ]
cvičení,workout [ˈwɝː.kaʊt]
aktivovat,activate [ˈæk.tə.veɪt]
přizpůsobování,adaptation [ˌæd.əpˈteɪ.ʃən]
hliník,aluminum [əˈluː.mə.nəm]
kauce,bail [beɪl]
CAL,cal [kæl]
charakterizovat,characterize [ˈker.ək.tɚ.aɪz]
civilizace,civilization [ˌsɪv.əl.əˈzeɪ.ʃən]
tvořivost,creativity [ˌkriː.eɪˈtɪv.ə.t̬i]
jemný,delicate [ˈdel.ə.kət]
doupě,den [den]
zklamání,disappointment [ˌdɪs.əˈpɔɪnt.mənt]
disk,disk [dɪsk]
vyhodnotit,evaluate [ɪˈvæl.ju.eɪt]
formálně,formally [ˈfɔːr.mə.li]
bohyně,goddess [ˈɡɑː.des]
obtěžování,harassment [həˈræs.mənt]
vložit,insert [ɪnˈsɝːt]
legitimní,legit [ləˈdʒɪt]
alkohol,liquor [ˈlɪk.ɚ]
Loser,loser [ˈluː.zɚ]
masáž,massage [məˈsɑːʒ]
synovec,nephew [ˈnef.juː]
zejména,notably [ˈnoʊ.t̬ə.bli]
orchestr,orchestra [ˈɔːr.kə.strə]
zachování,preservation [ˌprez.ɚˈveɪ.ʃən]
soukromě,privately [ˈpraɪ.vət.li]
uvažování,reasoning [ˈriː.zən.ɪŋ]
pověst,rumor [ˈruː.mɚ]
plachta,sail [seɪl]
losos,salmon [ˈsæm.ən]
tajně,secretly [ˈsiː.krət.li]
Prodejce,seller [ˈsel.ɚ]
Sen,sen [ˌes.iːˈen]
naprostý,sheer [ʃɪr]
zvláště,specially [ˈspeʃ.əl.i]
Stark,stark [stɑːrk]
sympatie,sympathy [ˈsɪm.pə.θi]
opálení,tan [tæn]
teoretický,theoretical [ˌθiː.əˈret̬.ə.kəl]
palec,thumb [θʌm]
dřevo,timber [ˈtɪm.bɚ]
průhledný,transparent [trænˈsper.ənt]
vzhůru nohama,upside [ˈʌp.saɪd]
vitamín,vitamin [ˈvaɪ.t̬ə-]
neplatné,void [vɔɪd]
dobrovolný,voluntary [ˈvɑː.lən.ter.i]
pšenice,wheat [wiːt]
bič,whip [wɪp]
Otřete,wipe [waɪp]
zápěstí,wrist [rɪst]
akutní,acute [əˈkjuːt]
admirál,admiral [ˈæd.mər.əl]
banán,banana [bəˈnæn.ə]
chovat se,behave [bɪˈheɪv]
půjčit si,borrow [ˈbɑːr.oʊ]
brada,chin [tʃɪn]
občanský,civic [ˈsɪv.ɪk]
úředník,clerk [klɝːk]
značně,considerably [kənˈsɪd.ɚ.ə.bli]
chalupa,cottage [ˈkɑː.t̬ɪdʒ]
převrat,coup [ˌkuː.deɪˈtɑː]
kritizovat,criticize [ˈkrɪt̬.ɪ.saɪz]
surový,crude [kruːd]
pomlčka,dash [dæʃ]
Zveřejnění,disclosure [dɪˈskloʊ.ʒɚ]
likvidace,disposal [dɪˈspoʊ.zəl]
rozlišovací,distinctive [dɪˈstɪŋk.tɪv]
trubec,drone [droʊn]
doprovod,escort [esˈkɔːrt]
pevně,firmly [ˈfɝːm.li]
mouka,flour [ˈflaʊ.ɚ]
prozatímní,interim [ˈɪn.t̬ɚ.ɪm]
blbec,jerk [dʒɝːk]
laskavě,kindly [ˈkaɪnd.li]
laskavost,kindness [ˈkaɪnd.nəs]
loterie,lottery [ˈlɑː.t̬ɚ.i]
velikost,magnitude [ˈmæɡ.nə.tuːd]
mínus,minus [ˈmaɪ.nəs]
akt,nude [nuːd]
výstup,outlet [ˈaʊt.let]
parametr,parameter [pəˈræm.ə.t̬ɚ]
pauza,pause [pɑːz]
slib,pledge [pledʒ]
portál,portal [ˈpɔːr.t̬əl]
předpis,prescription [prɪˈskrɪp.ʃən]
protestující,protester [ˈproʊ.tes.tɚ]
publicita,publicity [pʌbˈlɪs.ə.t̬i]
potrestat,punish [ˈpʌn.ɪʃ]
štěně,puppy [ˈpʌp.i]
nábor,recruitment [rɪˈkruːt.mənt]
křemík,silicon [ˈsɪl.ə.kən]
plátek,slice [slaɪs]
pravopis,spelling [ˈspel.ɪŋ]
spur,spur [spɝː]
odběratel,subscriber [səbˈskraɪ.bɚ]
telegrafovat,telegraph [ˈtel.ə.ɡræf]
TIT,tit [tɪt]
vakcína,vaccine [vækˈsiːn]
přesně,accurately [ˈæk.jɚ.ət.li]
affiliate,affiliate [əˈfɪl.i.eɪt]
azyl,asylum [əˈsaɪ.ləm]
stodola,barn [bɑːrn]
ohnutý,bent [bent]
katedrála,cathedral [kəˈθiː.drəl]
doložka,clause [klɑːz]
shluk,cluster [ˈklʌs.tɚ]
konzistence,consistency [kənˈsɪs.tən.si]
válec,cylinder [ˈsɪl.ɪn.dɚ]
tanečník,dancer [ˈdæn.sɚ]
hluchý,deaf [def]
odmítnutí,denial [dɪˈnaɪ.əl]
dok,dock [dɑːk]
podnikatel,entrepreneur [ˌɑːn.trə.prəˈnɝː]
evidentní,evident [ˈev.ə.dənt]
expedice,expedition [ˌek.spəˈdɪʃ.ən]
usnadnit,facilitate [fəˈsɪl.ə.teɪt]
výkon,feat [fiːt]
fosilní,fossil [ˈfɑː.səl]
náklad,freight [freɪt]
poctivost,honesty [ˈɑː.nə.sti]
nevhodný,inappropriate [ˌɪn.əˈproʊ.pri.ət]
dítě,infant [ˈɪn.fənt]
instrumentální,instrumental [ˌɪn.strəˈmen.t̬əl]
urazit,insult [ˈɪn.sʌlt]
rušení,interference [ˌɪn.t̬ɚˈfɪr.əns]
mezistátní,interstate [ˈɪn.t̬ɚ.steɪt]
Středomoří,mediterranean [ˌmed.ə.tərˈeɪ.ni.ən]
elegantní,neat [niːt]
vyjednávat,negotiate [nəˈɡoʊ.ʃi.eɪt]
offset,offset [ˌɑːfˈset]
nákaza,outbreak [ˈaʊt.breɪk]
kamarád,pal [pæl]
dokonalost,perfection [pɚˈfek.ʃən]
pirát,pirate [ˈpaɪr.ət]
sonda,probe [proʊb]
zakázat,prohibit [prəˈhɪb.ɪt]
čtvrtletní,quarterly [ˈkwɔːr.t̬ɚ.li]
rekrut,recruit [rɪˈkruːt]
rehabilitace,rehabilitation [ˌriː.həˌbɪl.əˈteɪ.ʃən]
odolný,resistant [rɪˈzɪs.tənt]
váleček,roller [ˈroʊ.lɚ]
plachtění,sailing [ˈseɪ.lɪŋ]
Skinny,skinny [ˈskɪn.i]
žalobníček,sneak [sniːk]
bolest,sore [sɔːr]
jiskra,spark [spɑːrk]
spekulace,speculation [ˌspek.jəˈleɪ.ʃən]
strmé,steep [stiːp]
sláma,straw [strɑː]
nástupce,successor [səkˈses.ɚ]
nejistý,uncertain [ʌnˈsɝː.tən]
vektor,vector [ˈvek.tɚ]
vážit,weigh [weɪ]
vůbec,whatsoever [ˌwɑːt.soʊˈev.ɚ]
zlý,wicked [ˈwɪk.ɪd]
chybí,absent [ˈæb.sənt]
akustický,acoustic [əˈkuː.stɪk]
předek,ancestor [ˈæn.ses.tɚ]
atomový,atomic [əˈtɑː.mɪk]
kolo,bicycle [ˈbaɪ.sə.kəl]
narazit,bump [bʌmp]
vozík,cart [kɑːrt]
cirkus,circus [ˈsɝː.kəs]
kokain,cocaine [koʊˈkeɪn]
přesvědčivé,compelling [kəmˈpel.ɪŋ]
kompilovat,compile [kəmˈpaɪl]
komplikace,complication [ˌkɑːm.pləˈkeɪ.ʃən]
šňůra,cord [kɔːrd]
Dale,dale [deɪl]
obžalovaný,defendant [dɪˈfen.dənt]
hustý,dense [dens]
zoufale,desperately [ˈdes.pɚ.ət.li]
doktrína,doctrine [ˈdɑːk.trɪn]
zuřivý,furious [ˈfʊr.i.əs]
zeměpis,geography [dʒiˈɑː.ɡrə.fi]
koncert,gig [ɡɪɡ]
stanoviště,habitat [ˈhæb.ə.tæt]
přístav,harbour [ˈhɑːr.bɚ]
nebezpečí,hazard [ˈhæz.ɚd]
vodík,hydrogen [ˈhaɪ.drə.dʒən]
znamenat,imply [ɪmˈplaɪ]
neporušený,intact [ɪnˈtækt]
přívod,intake [ˈɪn.teɪk]
irelevantní,irrelevant [ɪˈrel.ə.vənt]
čelist,jaw [dʒɑː]
koťátko,kitty [ˈkɪt̬.i]
trávník,lawn [lɑːn]
mylné,mistaken [mɪˈsteɪ.kən]
jehla,needle [ˈniː.dəl]
ovál,oval [ˈoʊ.vəl]
soucit,pity [ˈpɪt̬.i]
rybník,pond [pɑːnd]
porter,porter [ˈpɔːr.t̬ɚ]
kořist,prey [preɪ]
prorok,prophet [ˈprɑː.fɪt]
referendum,referendum [ˌref.əˈren.dəm]
regulovat,regulate [ˈreɡ.jə.leɪt]
zaoblený,rounded [ˈraʊn.dɪd]
rubín,ruby [ˈruː.bi]
Sander,sander [ˈsæn.dɚ]
sezónní,seasonal [ˈsiː.zən.əl]
rozumný,sensible [ˈsen.sə.bəl]
pokračování,sequel [ˈsiː.kwəl]
Posun,shifting [ˈʃɪf.tɪŋ]
Spinning,spinning [ˈspɪn.ɪŋ]
spoluhráč,teammate [ˈtiːm.meɪt]
okres,township [ˈtaʊn.ʃɪp]
zkroucené,twisted [ˈtwɪs.tɪd]
přebrodit,wade [weɪd]
velryba,whale [weɪl]
obdivovat,admire [ədˈmaɪr]
jantar,amber [ˈæm.bɚ]
kotník,ankle [ˈæŋ.kəl]
autismus,autism [ˈɑː.tɪ.zəm]
Bakalář,bachelor [ˈbætʃ.əl.ɚ]
bobule,berry [ˈber.i]
tyran,bully [ˈbʊl.i]
kapitalismus,capitalism [ˈkæp.ə.t̬əl.ɪ.zəm]
Pozor,caution [ˈkɑː.ʃən]
osvědčení,certification [ˌsɜ˞ː.t̬ə.fɪˈkeɪ.ʃən]
klan,clan [klæn]
střet,clash [klæʃ]
kompatibilní,compatible [kəmˈpæt̬.ə.bəl]
odsoudit,condemn [kənˈdem]
konfigurace,configuration [kənˌfɪɡ.jəˈreɪ.ʃən]
explozivní,explosive [ɪkˈsploʊ.sɪv]
povodně,flooding [ˈflʌd.ɪŋ]
štěstí,fortunate [ˈfɔːr.tʃən.ət]
naštěstí,fortunately [ˈfɔːr.tʃən.ət.li]
hranice,frontier [frʌnˈtɪr]
frustrace,frustration [frʌsˈtreɪ.ʃən]
zeměpisný,geographic [ˌdʒi.əˈɡræf.ɪk]
uchopit,grasp [ɡræsp]
šikovný,handy [ˈhæn.di]
škodlivý,harmful [ˈhɑːrm.fəl]
bolest hlavy,headache [ˈhed.eɪk]
pobídka,incentive [ɪnˈsen.t̬ɪv]
včetně,inclusive [ɪnˈkluː.sɪv]
líbání,kissing [kɪs]
šílenství,madness [ˈmæd.nəs]
mandát,mandate [ˈmæn.deɪt]
nezapomenutelné,memorable [ˈmem.ər.ə.bəl]
fúze,merger [ˈmɝː.dʒɚ]
Po,po [ˌpiːˈoʊ]
poker,poker [ˈpoʊ.kɚ]
přenosný,portable [ˈpɔːr.t̬ə.bəl]
náhodně,randomly [ˈræn.dəm.li]
loupež,robbery [ˈrɑː.bɚ.i]
třít,rub [rʌb]
výpad,sally [ˈsæl.i]
rozptyl,scatter [ˈskæt̬.ɚ]
skaut,scout [skaʊt]
sexualita,sexuality [ˌsek.ʃuˈæl.ə.t̬i]
políček,slap [slæp]
steak,steak [steɪk]
posloupnost,succession [səkˈseʃ.ən]
superintendent,superintendent [ˌsuː.pɚ.ɪnˈten.dənt]
podezření,suspicion [səˈspɪʃ.ən]
zametat,sweep [swiːp]
taktický,tactical [ˈtæk.tɪ.kəl]
terapeut,therapist [ˈθer.ə.pɪst]
poté,thereafter [ˌðerˈæf.tɚ]
důkladné,thorough [ˈθɝː.ə]
výuka,tuition [tuːˈɪʃ.ən]
nádor,tumor [ˈtuː.mɚ]
velkoobchod,wholesale [ˈhoʊl.seɪl]
spravovat,administer [ədˈmɪn.ə.stɚ]
architektonický,architectural [ˌɑːr.kəˈtek.tʃɚ.əl]
dělostřelectvo,artillery [ɑːrˈtɪl.ɚ.i]
shromáždit,assemble [əˈsem.bəl]
plátno,canvas [ˈkæn.vəs]
kaňon,canyon [ˈkæn.jən]
tvář,cheek [tʃiːk]
oběžník,circular [ˈsɝː.kjə.lɚ]
oběh,circulation [ˌsɝː.kjəˈleɪ.ʃən]
odbavení,clearance [ˈklɪr.əns]
koncentrovaný,concentrated [ˈkɑːn.sən.treɪ.t̬ɪd]
svědomí,conscience [ˈkɑːn.ʃəns]
nespočet,countless [ˈkaʊnt.ləs]
kari,curry [ˈkɝː.i]
dáma,dame [deɪm]
zesnout,decease [dɪˈsiːs]
věnování,dedication [ˌded.əˈkeɪ.ʃən]
zadržení,detention [dɪˈten.ʃən]
kačer,drake [dreɪk]
vynutit,enforce [ɪnˈfɔːrs]
explicitní,explicit [ɪkˈsplɪs.ɪt]
výslovně,explicitly [ɪkˈsplɪs.ɪt.li]
chřipka,flu [fluː]
zakázat,forbid [fɚˈbɪd]
zlomek,fraction [ˈfræk.ʃən]
pěchota,infantry [ˈɪn.fən.tri]
integrální,integral [ˈɪn.t̬ə.ɡrəl]
unést,kidnap [ˈkɪd.næp]
lehce,lightly [ˈlaɪt.li]
mramor,marble [ˈmɑːr.bəl]
námořní,maritime [ˈmer.ə.taɪm]
tát,melt [melt]
kandidát,nominee [ˌnɑː.məˈniː]
přísaha,oath [oʊθ]
vlastenec,patriot [ˈpeɪ.tri.ɑːt]
čurat,pee [piː]
polštář,pillow [ˈpɪl.oʊ]
polární,polar [ˈpoʊ.lɚ]
předpověď,prediction [prɪˈdɪk.ʃən]
náhled,preview [ˈpriː.vjuː]
hádanka,puzzle [ˈpʌz.əl]
rapper,rapper [ˈræp.ɚ]
rekonstrukce,reconstruction [ˌriː.kənˈstrʌk.ʃən]
zjevení,revelation [ˌrev.əˈleɪ.ʃən]
sukně,skirt [skɝːt]
